Altium Designer Pick and Place Locations
C:\Users\Nemoz\Documents\readout-board-pcb\altium\.\ETL_RB\Pick Place\ETL_RB.txt

========================================================================================================================
File Design Information:

Date:       23/06/23
Time:       13:49
Revision:   afdbfcb7935d77bec552487d622d74464cd2cc8a
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                  
D1         LTST-C191KRKT        BottomLayer LED_RED                         8.1026       7.4810       270      "Typical RED, GREEN, YELLOW, AMBER GaAs LED"                                 
J9         SBH11-PBPC-D07-ST-BK TopLayer    SHDR14W64P254_2X7_2528X910X910P 124.6378     0.0000       270      Connector                                                                    
C26        GRM155R71E104ME14D   BottomLayer capc1005n                       85.6000      4.1000       270      "CERAMIC CAPACITOR"                                                          
J7         U.FL-R-SMT(01)       TopLayer    U.FL-R-SMT(01)                  105.0000     3.5000       270      "CONN U.FL RCPT STR 50 OHM SMD"                                              
TP12       M_SDA                TopLayer    testpoint                       52.7000      -7.4000      90       "TEST POINT 40MIL DIA."                                                      
TP11       M_SCL                TopLayer    testpoint                       51.6000      -9.7000      90       "TEST POINT 40MIL DIA."                                                      
Q6         ZXMN2B01FTA          BottomLayer SOT-23                          8.1178       2.9050       180      "MOSFET N-CH 20V 2.1A SOT-23-3"                                              
R2         ERJ-2GEJ102X         BottomLayer resc1005n                       5.4102       10.4140      270      "FILM RESISTOR"                                                              
D7         LTST-C191KRKT        BottomLayer LED_RED                         5.4102       7.5064       270      "Typical RED, GREEN, YELLOW, AMBER GaAs LED"                                 
J8         U.FL-R-SMT(01)       TopLayer    U.FL-R-SMT(01)                  105.0000     -3.5000      270      "CONN U.FL RCPT STR 50 OHM SMD"                                              
R24        ERJ-2GEJ102X         TopLayer    resc1005n                       46.8630      -19.9390     180      "FILM RESISTOR"                                                              
R19        RR0510P-102-D        TopLayer    resc1005n                       88.8750      7.9750       270      "FILM RESISTOR"                                                              
R18        ERJ-2GEJ102X         TopLayer    resc1005n                       51.1810      -19.9390     180      "FILM RESISTOR"                                                              
R17        RR0510P-103-D        TopLayer    resc1005n                       87.5750      7.9750       90       "FILM RESISTOR"                                                              
R16        ERJ-2GEJ102X         TopLayer    resc1005n                       114.0000     4.7500       90       "FILM RESISTOR"                                                              
R15        ERJ-2GEJ392X         TopLayer    resc1005n                       57.5447      -22.2197     90       "FILM RESISTOR"                                                              
R14        ERJ-2GEJ392X         TopLayer    resc1005n                       101.9500     -22.2250     90       "FILM RESISTOR"                                                              
Q5         ZXMN2B01FTA          TopLayer    SOT-23                          51.9504      -15.5499     180      "MOSFET N-CH 20V 2.1A SOT-23-3"                                              
